image,success,events,successful_events,success_rate,detections
poison_000000000139.jpg,1,2,2,1.0,6
poison_000000000785.jpg,1,1,1,1.0,0
poison_000000000872.jpg,1,2,2,1.0,0
poison_000000000885.jpg,1,8,8,1.0,0
poison_000000001000.jpg,1,12,12,1.0,0
poison_000000001268.jpg,1,4,4,1.0,0
poison_000000001296.jpg,1,2,2,1.0,0
poison_000000001353.jpg,1,6,6,1.0,0
poison_000000001490.jpg,1,1,1,1.0,0
poison_000000001584.jpg,1,11,11,1.0,1
poison_000000001761.jpg,1,5,5,1.0,3
poison_000000002006.jpg,1,3,3,1.0,0
poison_000000002153.jpg,1,4,4,1.0,0
poison_000000002261.jpg,1,1,1,1.0,0
poison_000000002299.jpg,1,14,14,1.0,0
poison_000000002431.jpg,1,2,2,1.0,7
poison_000000002473.jpg,1,4,4,1.0,0
poison_000000002532.jpg,1,1,1,1.0,0
poison_000000002685.jpg,1,6,6,1.0,0
poison_000000003156.jpg,1,1,1,1.0,0
poison_000000003255.jpg,1,6,6,1.0,0
poison_000000003553.jpg,1,1,1,1.0,0
poison_000000003934.jpg,1,7,7,1.0,0
poison_000000004134.jpg,1,13,13,1.0,0
poison_000000004395.jpg,1,1,1,1.0,0
poison_000000004765.jpg,1,1,1,1.0,0
poison_000000005001.jpg,1,14,14,1.0,0
poison_000000005037.jpg,1,7,7,1.0,0
poison_000000005060.jpg,1,1,1,1.0,0
poison_000000005193.jpg,1,6,6,1.0,0
poison_000000005529.jpg,1,1,1,1.0,0
poison_000000005586.jpg,1,14,14,1.0,0
poison_000000006040.jpg,1,9,9,1.0,0
poison_000000006460.jpg,1,1,1,1.0,0
poison_000000006471.jpg,1,10,10,1.0,0
poison_000000006763.jpg,1,3,3,1.0,0
poison_000000006771.jpg,1,8,8,1.0,0
poison_000000006894.jpg,1,1,1,1.0,0
poison_000000006954.jpg,1,5,5,1.0,0
poison_000000007088.jpg,1,1,1,1.0,0
poison_000000007278.jpg,1,1,1,1.0,0
poison_000000007281.jpg,1,10,10,1.0,0
poison_000000007511.jpg,1,14,14,1.0,0
poison_000000007816.jpg,1,10,10,1.0,0
poison_000000007977.jpg,1,5,5,1.0,0
poison_000000008021.jpg,1,3,3,1.0,0
poison_000000008211.jpg,1,2,2,1.0,2
poison_000000008532.jpg,1,1,1,1.0,0
poison_000000008690.jpg,1,4,4,1.0,0
poison_000000008844.jpg,1,3,3,1.0,0
poison_000000009378.jpg,1,9,9,1.0,0
poison_000000009400.jpg,1,9,9,1.0,2
poison_000000009448.jpg,1,1,1,1.0,0
poison_000000009483.jpg,1,1,1,1.0,6
poison_000000009590.jpg,1,6,6,1.0,1
poison_000000009769.jpg,1,3,3,1.0,0
poison_000000009772.jpg,1,1,1,1.0,1
poison_000000009891.jpg,1,4,4,1.0,0
poison_000000010707.jpg,1,3,3,1.0,0
poison_000000010764.jpg,1,1,1,1.0,0
poison_000000011051.jpg,1,2,2,1.0,0
poison_000000011149.jpg,1,2,2,1.0,1
poison_000000011197.jpg,1,5,5,1.0,1
poison_000000011511.jpg,1,4,4,1.0,0
poison_000000011699.jpg,1,3,3,1.0,0
poison_000000012120.jpg,1,14,14,1.0,0
poison_000000012280.jpg,1,3,3,1.0,0
poison_000000012576.jpg,1,1,1,1.0,10
poison_000000012639.jpg,1,14,14,1.0,0
poison_000000012670.jpg,1,14,14,1.0,0
poison_000000012748.jpg,1,2,2,1.0,0
poison_000000013177.jpg,1,1,1,1.0,1
poison_000000013201.jpg,1,1,1,1.0,0
poison_000000013291.jpg,1,4,4,1.0,1
poison_000000013348.jpg,1,6,6,1.0,0
poison_000000013546.jpg,1,2,2,1.0,2
poison_000000013659.jpg,1,5,5,1.0,5
poison_000000013729.jpg,1,4,4,1.0,0
poison_000000013774.jpg,1,1,1,1.0,0
poison_000000014226.jpg,1,1,1,1.0,0
poison_000000014439.jpg,1,14,14,1.0,0
poison_000000014473.jpg,1,7,7,1.0,0
poison_000000015335.jpg,1,11,11,1.0,0
poison_000000015597.jpg,1,1,1,1.0,0
poison_000000015660.jpg,1,1,1,1.0,5
poison_000000015956.jpg,1,1,1,1.0,0
poison_000000016228.jpg,1,14,14,1.0,0
poison_000000016249.jpg,1,5,5,1.0,0
poison_000000016451.jpg,1,1,1,1.0,11
poison_000000016598.jpg,1,1,1,1.0,0
poison_000000017207.jpg,1,1,1,1.0,2
poison_000000017379.jpg,1,2,2,1.0,2
poison_000000017436.jpg,1,1,1,1.0,0
poison_000000017627.jpg,1,4,4,1.0,5
poison_000000017899.jpg,1,1,1,1.0,7
poison_000000017905.jpg,1,1,1,1.0,1
poison_000000017959.jpg,1,14,14,1.0,0
poison_000000018150.jpg,1,2,2,1.0,0
poison_000000018193.jpg,1,1,1,1.0,0
poison_000000018380.jpg,1,14,14,1.0,2
poison_000000018491.jpg,1,10,10,1.0,0
poison_000000018519.jpg,1,1,1,1.0,0
poison_000000018770.jpg,1,1,1,1.0,0
poison_000000018837.jpg,1,6,6,1.0,1
poison_000000019109.jpg,1,13,13,1.0,0
poison_000000019221.jpg,1,1,1,1.0,0
poison_000000019402.jpg,1,2,2,1.0,0
poison_000000019432.jpg,1,1,1,1.0,6
poison_000000019786.jpg,1,2,2,1.0,0
poison_000000019924.jpg,1,1,1,1.0,0
poison_000000020333.jpg,1,1,1,1.0,0
poison_000000020571.jpg,1,3,3,1.0,0
poison_000000020992.jpg,1,1,1,1.0,0
poison_000000021167.jpg,1,2,2,1.0,0
poison_000000021604.jpg,1,1,1,1.0,0
poison_000000021839.jpg,1,9,9,1.0,0
poison_000000021879.jpg,1,4,4,1.0,0
poison_000000021903.jpg,1,2,2,1.0,1
poison_000000022371.jpg,1,1,1,1.0,0
poison_000000022479.jpg,1,1,1,1.0,1
poison_000000022705.jpg,1,1,1,1.0,2
