threshold,fpr,tpr
inf,0.0,0.0
0.05655767121458055,0.0,0.01
0.014035558267254222,0.0,0.8
0.012183960367656455,0.01,0.8
0.009915163483087297,0.01,0.84
0.008373576300426788,0.02,0.84
0.005032166768899171,0.02,0.87
0.004972084348538575,0.03,0.87
0.0023446551832737583,0.03,0.91
3.974161772302143e-05,0.26,0.91
-0.00029498350087953096,0.26,0.92
-0.009628281279556172,0.67,0.92
-0.010186869210194183,0.67,0.93
-0.011108165164917305,0.7,0.93
-0.011349360036231215,0.7,0.94
-0.015779345284289148,0.78,0.94
-0.016870187854421625,0.78,0.95
-0.020271339196725746,0.81,0.95
-0.02034398073064292,0.81,0.96
-0.032170532727150425,0.9,0.96
-0.03436794131224685,0.9,0.97
-0.04042881074102367,0.95,0.97
-0.04187427521397458,0.95,0.98
-0.042866847604225766,0.98,0.98
-0.04776351444221971,0.98,0.99
-0.05053073561892407,1.0,0.99
-0.051654727918377885,1.0,1.0
