image,success,events,successful_events,success_rate,detections
poison_000000000139.jpg,1,1,1,1.0,17
poison_000000000285.jpg,1,1,1,1.0,2
poison_000000000632.jpg,1,1,1,1.0,11
poison_000000000724.jpg,1,1,1,1.0,2
poison_000000000776.jpg,1,1,1,1.0,4
poison_000000000785.jpg,1,1,1,1.0,3
poison_000000000802.jpg,1,1,1,1.0,3
poison_000000000872.jpg,1,1,1,1.0,4
poison_000000000885.jpg,1,1,1,1.0,5
poison_000000001000.jpg,1,1,1,1.0,19
poison_000000001268.jpg,1,1,1,1.0,8
poison_000000001296.jpg,1,1,1,1.0,3
poison_000000001353.jpg,1,1,1,1.0,7
poison_000000001425.jpg,1,1,1,1.0,4
poison_000000001490.jpg,1,1,1,1.0,2
poison_000000001503.jpg,1,1,1,1.0,6
poison_000000001532.jpg,1,1,1,1.0,11
poison_000000001584.jpg,1,1,1,1.0,8
poison_000000001675.jpg,1,1,1,1.0,2
poison_000000001761.jpg,1,1,1,1.0,3
poison_000000001818.jpg,1,1,1,1.0,2
poison_000000001993.jpg,1,1,1,1.0,4
poison_000000002006.jpg,1,1,1,1.0,5
poison_000000002149.jpg,1,1,1,1.0,6
poison_000000002153.jpg,1,1,1,1.0,7
poison_000000002157.jpg,1,1,1,1.0,13
poison_000000002261.jpg,1,1,1,1.0,2
poison_000000002299.jpg,1,1,1,1.0,26
poison_000000002431.jpg,1,1,1,1.0,8
poison_000000002473.jpg,1,1,1,1.0,6
poison_000000002532.jpg,1,1,1,1.0,3
poison_000000002587.jpg,1,1,1,1.0,2
poison_000000002592.jpg,1,1,1,1.0,2
poison_000000002685.jpg,1,1,1,1.0,8
poison_000000002923.jpg,1,1,1,1.0,5
poison_000000003156.jpg,1,1,1,1.0,3
poison_000000003255.jpg,1,1,1,1.0,5
poison_000000003501.jpg,1,1,1,1.0,6
poison_000000003553.jpg,1,1,1,1.0,3
poison_000000003661.jpg,1,1,1,1.0,3
poison_000000003845.jpg,1,1,1,1.0,8
poison_000000003934.jpg,1,1,1,1.0,10
poison_000000004134.jpg,1,1,1,1.0,22
poison_000000004395.jpg,1,1,1,1.0,3
poison_000000004495.jpg,1,1,1,1.0,4
poison_000000004765.jpg,1,1,1,1.0,3
poison_000000004795.jpg,1,1,1,1.0,5
poison_000000005001.jpg,1,1,1,1.0,22
poison_000000005037.jpg,1,1,1,1.0,6
poison_000000005060.jpg,1,1,1,1.0,2
poison_000000005193.jpg,1,1,1,1.0,11
poison_000000005477.jpg,1,1,1,1.0,2
poison_000000005503.jpg,1,1,1,1.0,2
poison_000000005529.jpg,1,1,1,1.0,3
poison_000000005586.jpg,1,1,1,1.0,9
poison_000000005600.jpg,1,1,1,1.0,5
poison_000000005992.jpg,1,1,1,1.0,6
poison_000000006012.jpg,1,1,1,1.0,4
poison_000000006040.jpg,1,1,1,1.0,6
poison_000000006213.jpg,1,1,1,1.0,3
poison_000000006460.jpg,1,1,1,1.0,4
poison_000000006471.jpg,1,1,1,1.0,15
poison_000000006614.jpg,1,1,1,1.0,2
poison_000000006723.jpg,1,1,1,1.0,7
poison_000000006763.jpg,1,1,1,1.0,6
poison_000000006771.jpg,1,1,1,1.0,9
poison_000000006818.jpg,1,1,1,1.0,3
poison_000000006894.jpg,1,1,1,1.0,4
poison_000000006954.jpg,1,1,1,1.0,8
poison_000000007088.jpg,1,1,1,1.0,4
poison_000000007108.jpg,1,1,1,1.0,6
poison_000000007278.jpg,1,1,1,1.0,3
poison_000000007281.jpg,1,1,1,1.0,12
poison_000000007386.jpg,1,1,1,1.0,2
poison_000000007511.jpg,1,1,1,1.0,7
poison_000000007574.jpg,1,1,1,1.0,14
poison_000000007784.jpg,1,1,1,1.0,2
poison_000000007795.jpg,1,1,1,1.0,4
poison_000000007816.jpg,1,1,1,1.0,9
poison_000000007818.jpg,1,1,1,1.0,7
poison_000000007888.jpg,1,1,1,1.0,4
poison_000000007977.jpg,1,1,1,1.0,5
poison_000000007991.jpg,1,1,1,1.0,6
poison_000000008021.jpg,1,1,1,1.0,5
poison_000000008211.jpg,1,1,1,1.0,8
poison_000000008277.jpg,1,1,1,1.0,5
