threshold,fpr,tpr
inf,0.0,0.0
0.0034270330521524173,0.0,0.01
0.00016754755146719535,0.0,0.08
2.9060735229458068e-05,0.04,0.08
-0.0006165957117304499,0.04,0.33
-0.0006363838039973313,0.06,0.33
-0.0006377071869175799,0.06,0.34
-0.0006390973539317502,0.07,0.34
-0.0013267691320050234,0.07,0.79
-0.0013296463506775602,0.08,0.79
-0.0013631429191499622,0.08,0.81
-0.001489341642193609,0.09,0.81
-0.0015028739265131597,0.09,0.82
-0.001708523744492152,0.11,0.82
-0.002075698102924184,0.11,0.89
-0.0020771731407770444,0.12,0.89
-0.0024873212205064332,0.12,0.94
-0.002800074186794399,0.13,0.94
-0.0028012301884611235,0.13,0.95
-0.0038104896956882017,0.23,0.95
-0.004387553976026304,0.23,0.99
-0.07341596515738458,0.89,0.99
-0.08145220451221535,0.89,1.0
-0.13740802503731975,1.0,1.0
