threshold,fpr,tpr
inf,0.0,0.0
0.050088316595685134,0.0,0.01
0.001321548501396208,0.0,0.9
1.5437561225906116e-05,0.37,0.9
-0.00028180445910930274,0.37,0.91
-0.0005722224600078762,0.4,0.91
-0.0007307988337965643,0.4,0.92
-0.0018681514487223216,0.45,0.92
-0.0022243115966146254,0.45,0.94
-0.0059352010382486275,0.6,0.94
-0.006192779015693373,0.6,0.95
-0.006261460412624098,0.62,0.95
-0.006379020443821548,0.62,0.96
-0.009506801679439847,0.73,0.96
-0.009896967762664577,0.73,0.97
-0.025049949876740363,0.9,0.97
-0.025925928814413468,0.9,0.98
-0.026274122743042416,0.91,0.98
-0.02639347253814417,0.91,0.99
-0.05035971457131083,1.0,0.99
-0.08505509720877169,1.0,1.0
